group_parameter_set_ID,synthetic_par_ID,recovered_indi_beta0_mean,recovered_indi_beta0_sd,recovered_indi_beta1_mean,recovered_indi_beta1_sd,recovered_indi_beta2_mean,recovered_indi_beta2_sd,recovered_indi_drift_mean,recovered_indi_drift_sd
2,0,3.267,0.95,3.822,0.31,0.508,0.131,1.059,0.061
2,1,2.236,0.687,1.372,0.149,1.222,0.13,1.334,0.077
2,2,4.657,1.049,2.97,0.238,0.431,0.123,1.532,0.089
2,3,3.488,1.087,4.96,0.345,0.706,0.174,0.881,0.05
2,4,2.518,0.777,4.567,0.318,0.718,0.12,0.996,0.058
2,5,2.327,0.578,3.393,0.299,0.201,0.067,1.106,0.066
2,6,3.1,0.889,3.439,0.257,0.584,0.132,0.82,0.048
2,7,2.915,0.822,4.106,0.302,0.406,0.112,0.858,0.05
2,8,2.544,0.767,8.404,0.751,0.571,0.112,1.147,0.069
2,9,4.021,0.841,4.871,0.297,0.312,0.106,1.659,0.094
2,10,4.333,1.515,7.01,0.445,0.689,0.248,0.537,0.031
2,11,3.357,0.86,4.015,0.477,0.499,0.108,1.088,0.065
2,12,3.07,0.785,4.154,0.525,0.27,0.08,1.822,0.104
2,13,2.352,0.723,4.25,0.336,0.436,0.101,1.651,0.094
2,14,4.174,1.142,5.856,0.606,0.707,0.126,2.036,0.118
2,15,3.443,1.261,4.241,0.372,2.072,0.242,0.577,0.034
2,16,3.845,0.986,2.617,0.187,1.42,0.186,1.464,0.084
2,17,3.158,0.9,5.074,0.335,0.579,0.136,1.524,0.087
2,18,2.664,0.889,2.788,0.283,2.449,0.205,0.74,0.043
2,19,3.927,0.777,3.985,0.285,0.511,0.098,2.937,0.171
2,20,2.723,0.745,1.979,0.197,0.87,0.113,1.718,0.098
3,0,9.718,1.411,2.904,0.932,0.348,0.143,1.142,0.067
3,1,1.752,0.685,5.027,0.318,0.155,0.076,2.005,0.115
3,2,2.083,1.223,4.52,0.379,4.194,0.301,0.991,0.057
3,3,3.037,1.452,2.196,0.696,0.489,0.131,0.987,0.059
3,4,4.064,0.695,1.538,0.522,0.156,0.07,1.322,0.08
3,5,4.949,1.024,3.605,0.246,0.745,0.131,2.399,0.138
3,6,5.651,2.599,8.246,1.569,0.429,0.188,1.039,0.06
3,7,2.233,0.687,1.926,0.21,0.226,0.084,1.218,0.074
3,8,1.924,0.911,2.177,0.165,2.699,0.239,0.975,0.057
3,9,10.347,1.769,1.689,0.252,0.451,0.199,0.791,0.047
3,10,2.913,1.354,2.96,0.238,1.585,0.217,0.77,0.045
3,11,11.833,1.731,3.506,0.842,0.496,0.121,3.305,0.194
3,12,1.924,0.787,1.662,0.2,0.222,0.089,0.976,0.06
3,13,4.483,1.655,4.396,0.472,1.068,0.199,1.099,0.065
3,14,4.565,1.513,6.944,0.45,0.689,0.195,2.206,0.128
3,15,6.679,0.722,1.629,0.127,0.128,0.071,1.38,0.082
3,16,0.925,0.399,0.717,0.065,0.237,0.062,1.036,0.067
3,17,2.44,0.886,1.541,0.189,0.708,0.121,1.45,0.085
3,18,19.557,1.843,1.203,0.238,0.682,0.187,1.532,0.088
3,19,4.377,1.702,6.527,0.516,2.416,0.249,1.515,0.086
3,20,3.309,1.301,1.027,0.147,3.092,0.267,1.076,0.062
4,0,1.92,1.009,18.448,1.055,0.17,0.108,1.037,0.058
4,1,1.351,0.616,7.154,0.452,0.136,0.073,1.175,0.069
4,2,6.517,0.92,4.141,0.256,0.22,0.112,2.351,0.135
4,3,6.812,1.572,4.292,0.476,0.404,0.164,1.398,0.081
4,4,1.927,0.516,1.873,0.153,0.303,0.063,4.215,0.244
4,5,1.464,0.751,1.289,0.24,3.121,0.211,1.771,0.1
4,6,2.355,1.078,5.567,0.405,0.288,0.139,0.676,0.039
4,7,2.869,1.188,7.781,0.49,0.993,0.165,2.825,0.164
4,8,1.163,0.651,8.116,0.485,0.378,0.154,1.141,0.065
4,9,2.139,0.677,2.947,0.288,0.179,0.068,2.706,0.16
4,10,1.378,0.629,5.667,0.549,0.328,0.086,1.987,0.117
4,11,7.757,0.998,1.81,0.602,0.169,0.093,0.871,0.053
4,12,2.535,0.983,3.788,0.352,1.55,0.145,2.803,0.161
4,13,2.124,0.978,6.083,0.509,0.237,0.115,0.92,0.054
4,14,5.91,1.336,1.924,0.192,1.996,0.219,1.547,0.089
4,15,1.775,0.733,11.096,0.642,0.164,0.092,2.306,0.13
4,16,2.815,0.848,10.715,0.699,0.177,0.093,1.58,0.091
4,17,1.749,0.753,5.624,0.383,0.197,0.089,1.769,0.101
4,18,2.242,0.891,3.715,0.24,0.495,0.138,1.823,0.105
4,19,5.208,1.204,2.869,0.22,0.649,0.161,1.681,0.098
4,20,2.839,1.324,3.334,0.327,2.171,0.213,1.358,0.078
5,0,2.877,1.142,6.055,0.488,0.618,0.158,1.015,0.058
5,1,1.615,0.506,1.715,0.138,0.35,0.066,2.272,0.132
5,2,3.95,0.881,4.501,0.303,0.535,0.115,1.922,0.112
5,3,3.85,1.225,10.38,0.679,0.401,0.133,0.941,0.054
5,4,2.188,0.831,10.184,0.621,0.381,0.121,0.85,0.049
5,5,5.055,1.008,4.457,0.292,0.46,0.119,2.262,0.128
5,6,8.35,2.217,23.885,1.751,0.558,0.222,0.655,0.039
5,7,3.487,1.044,5.039,0.338,0.498,0.143,0.972,0.057
5,8,1.927,0.677,3.006,0.23,0.291,0.092,0.537,0.033
5,9,2.614,0.817,17.351,0.98,0.309,0.104,4.174,0.233
5,10,2.389,0.747,1.673,0.186,0.404,0.099,0.598,0.038
5,11,3.988,1.023,3.828,0.264,0.659,0.146,1.452,0.084
5,12,4.261,1.084,1.269,0.245,0.613,0.132,1.112,0.066
5,13,2.946,0.663,4.211,0.31,0.25,0.076,1.84,0.107
5,14,2.989,1.142,13.246,0.862,0.423,0.137,0.582,0.034
5,15,4.89,0.897,3.234,0.232,0.361,0.09,3.507,0.195
5,16,6.124,1.509,14.784,0.843,0.482,0.186,2.14,0.122
5,17,4.598,1.007,1.833,0.185,0.512,0.126,1.114,0.067
5,18,3.241,0.796,6.878,0.442,0.285,0.084,2.486,0.14
5,19,4.298,0.98,7.41,0.444,0.614,0.137,3.025,0.173
5,20,5.762,1.369,3.1,0.554,0.454,0.123,1.093,0.064
6,0,1.304,0.635,6.186,0.5,0.237,0.081,0.802,0.049
6,1,24.48,1.891,3.07,0.237,0.322,0.145,1.251,0.07
6,2,2.173,0.883,2.185,0.145,0.759,0.169,1.369,0.076
6,3,4.213,1.028,3.165,0.252,0.397,0.122,1.447,0.084
6,4,1.472,0.791,4.46,0.395,0.446,0.104,1.613,0.093
6,5,1.819,0.961,2.966,0.474,0.611,0.138,0.609,0.038
6,6,2.378,0.909,2.419,0.409,0.162,0.057,2.233,0.13
6,7,6.085,1.129,2.786,0.243,0.476,0.124,2.004,0.114
6,8,2.06,1.04,4.96,0.385,0.745,0.131,2.107,0.121
6,9,3.537,1.04,2.022,0.409,0.442,0.108,1.429,0.083
6,10,10.597,1.312,3.202,0.271,0.322,0.118,2.059,0.118
6,11,3.494,0.885,2.035,0.16,0.435,0.116,1.49,0.086
6,12,1.402,0.766,4.22,0.384,2.104,0.167,1.901,0.113
6,13,5.281,0.912,2.076,0.152,0.33,0.116,1.275,0.074
6,14,2.841,1.227,3.565,0.614,0.353,0.092,2.446,0.142
6,15,3.541,1.318,3.746,0.262,1.082,0.207,1.128,0.065
6,16,7.708,1.043,2.615,0.191,0.445,0.121,2.152,0.121
6,17,6.415,1.666,2.102,0.252,0.633,0.21,0.597,0.035
6,18,3.578,1.171,2.939,0.228,0.706,0.153,1.372,0.077
6,19,2.874,1.099,3.131,0.252,0.7,0.143,1.4,0.08
6,20,1.626,0.819,2.699,0.177,0.969,0.162,1.221,0.069
7,0,2.76,0.721,1.168,0.203,0.481,0.088,1.531,0.088
7,1,3.701,0.606,0.689,0.077,0.354,0.075,2.046,0.119
7,2,2.606,1.081,3.848,0.489,1.046,0.137,1.942,0.111
7,3,3.095,0.974,7.916,0.519,0.461,0.116,1.294,0.072
7,4,2.329,0.883,9.443,0.607,0.603,0.117,1.607,0.091
7,5,2.677,0.859,2.884,0.248,0.613,0.107,1.843,0.103
7,6,1.635,0.668,1.562,0.205,0.707,0.097,1.159,0.067
7,7,3.294,0.784,0.698,0.144,0.597,0.101,1.329,0.076
7,8,2.517,0.945,4.292,0.261,0.897,0.18,1.644,0.092
7,9,6.015,1.412,3.843,0.261,1.148,0.219,1.48,0.082
7,10,12.627,1.486,5.843,0.352,0.521,0.158,1.97,0.111
7,11,2.838,1.529,8.779,0.883,0.611,0.168,1.116,0.062
7,12,2.503,0.986,13.077,0.801,0.973,0.149,2.919,0.171
7,13,2.543,1.017,18.026,1.096,0.356,0.111,1.457,0.082
7,14,7.782,1.379,2.827,0.226,1.776,0.212,1.81,0.103
7,15,2.821,0.957,5.403,0.34,0.462,0.115,1.808,0.1
7,16,2.053,0.809,9.88,0.613,0.42,0.102,1.634,0.09
7,17,2.637,1.127,13.104,0.756,0.643,0.156,1.281,0.07
7,18,3.893,1.246,5.673,0.467,0.91,0.141,2.579,0.149
7,19,5.646,1.484,9.987,0.582,0.767,0.186,1.884,0.104
7,20,2.551,0.902,4.22,0.264,0.8,0.14,1.697,0.094
8,0,7.91,1.409,2.637,0.235,0.357,0.16,0.795,0.045
8,1,2.65,1.156,6.805,0.722,0.312,0.111,1.202,0.071
8,2,2.729,1.233,8.201,0.493,1.231,0.194,2.373,0.134
8,3,4.789,1.267,2.695,0.574,0.79,0.122,2.43,0.141
8,4,7.866,1.226,4.772,0.295,0.456,0.164,1.608,0.091
8,5,1.417,0.82,4.882,0.365,1.541,0.149,2.129,0.124
8,6,1.885,0.916,6.222,0.377,0.386,0.149,1.388,0.079
8,7,14.702,2.05,3.611,0.549,1.036,0.205,1.756,0.098
8,8,1.043,0.573,4.72,0.344,0.576,0.085,1.832,0.105
8,9,0.915,0.544,4.563,0.312,0.629,0.088,1.826,0.104
8,10,7.803,1.003,8.033,0.467,0.31,0.122,3.357,0.192
8,11,6.778,1.44,5.166,0.375,0.377,0.152,1.262,0.072
8,12,5.785,1.177,3.492,0.376,0.298,0.1,2.327,0.133
8,13,4.086,1.349,4.404,0.322,0.419,0.154,1.279,0.072
8,14,5.525,1.307,3.317,0.653,0.211,0.087,1.479,0.086
8,15,3.513,1.139,3.382,0.415,0.301,0.111,1.077,0.063
8,16,4.253,1.339,1.939,0.212,0.682,0.174,0.857,0.051
8,17,1.889,0.79,2.806,0.208,0.271,0.098,1.035,0.06
8,18,0.613,0.332,2.527,0.213,0.135,0.045,1.079,0.067
8,19,2.554,1.313,11.801,0.746,0.416,0.161,0.974,0.057
8,20,5.592,1.434,4.293,0.284,0.489,0.189,1.06,0.06
9,0,4.431,1.354,2.698,0.549,1.234,0.158,1.799,0.105
9,1,3.419,1.249,3.372,0.919,0.502,0.136,0.745,0.045
9,2,2.092,0.889,5.692,0.37,0.369,0.129,0.859,0.049
9,3,8.231,2.299,4.101,0.711,0.548,0.178,1.091,0.063
9,4,3.024,1.005,3.948,0.559,0.693,0.13,1.137,0.067
9,5,9.259,0.902,1.413,0.122,0.335,0.094,2.451,0.143
9,6,2.195,0.738,2.502,0.28,0.263,0.078,1.579,0.092
9,7,1.714,0.724,2.611,0.517,0.33,0.09,1.11,0.067
9,8,11.51,1.901,4.314,0.45,0.831,0.215,1.269,0.075
9,9,4.575,1.315,4.268,0.316,0.643,0.177,1.066,0.061
9,10,5.627,0.809,1.878,0.157,0.29,0.091,1.956,0.113
9,11,6.53,1.489,5.383,0.449,0.634,0.174,1.313,0.077
9,12,2.142,0.598,2.391,0.221,0.257,0.071,1.861,0.109
9,13,1.397,0.6,3.486,0.231,0.279,0.1,0.825,0.049
9,14,4.991,0.797,2.287,0.16,0.359,0.105,2.21,0.128
9,15,3.616,1.001,2.086,0.704,0.637,0.126,1.002,0.06
9,16,1.982,0.66,4.82,0.344,0.288,0.081,2.042,0.116
9,17,3.408,1.096,6.55,0.548,0.668,0.138,1.585,0.092
9,18,6.29,2.009,8.421,0.511,0.901,0.298,1.235,0.07
9,19,3.582,1.549,3.812,0.353,1.549,0.231,0.686,0.04
9,20,3.437,0.844,2.422,0.208,0.261,0.093,1.105,0.064
