GambleNumber,lot_0_val,lot_0_prob,lot_0_ev,lot_1_val,lot_1_prob,lot_1_ev,dX,dP,dEV,AttributeCompetition,Deadline
24.0,48.0,62.0,29.759999999999998,86.0,35.0,30.099999999999998,-38.0,27.0,-0.33999999999999986,1.0,8.0
25.0,26.0,67.0,17.42,71.0,40.0,28.400000000000002,-45.0,27.0,-10.98,1.0,10.0
26.0,29.0,87.0,25.23,88.0,64.0,56.32,-59.0,23.0,-31.09,1.0,8.0
27.0,19.0,30.0,5.7,83.0,1.0,0.8300000000000001,-64.0,29.0,4.87,1.0,8.0
28.0,4.0,54.0,2.16,79.0,29.0,22.91,-75.0,25.0,-20.75,1.0,10.0
29.0,11.0,28.0,3.08,99.0,3.0,2.9699999999999998,-88.0,25.0,0.11000000000000032,1.0,10.0
30.0,4.0,90.0,3.6,95.0,69.0,65.55,-91.0,21.0,-61.949999999999996,1.0,8.0
31.0,95.0,34.0,32.300000000000004,99.0,2.0,1.98,-4.0,32.0,30.320000000000004,1.0,10.0
32.0,79.0,62.0,48.98,92.0,27.0,24.840000000000003,-13.0,35.0,24.139999999999993,1.0,10.0
33.0,22.0,70.0,15.399999999999999,48.0,36.0,17.28,-26.0,34.0,-1.8800000000000026,1.0,12.0
34.0,20.0,65.0,13.0,55.0,30.0,16.5,-35.0,35.0,-3.5,1.0,12.0
35.0,51.0,85.0,43.35,95.0,46.0,43.7,-44.0,39.0,-0.3500000000000014,1.0,8.0
36.0,40.0,37.0,14.8,93.0,3.0,2.79,-53.0,34.0,12.010000000000002,1.0,8.0
37.0,22.0,84.0,18.48,87.0,45.0,39.15,-65.0,39.0,-20.669999999999998,1.0,8.0
38.0,21.0,90.0,18.900000000000002,96.0,51.0,48.96,-75.0,39.0,-30.06,1.0,8.0
39.0,3.0,80.0,2.4000000000000004,84.0,45.0,37.800000000000004,-81.0,35.0,-35.400000000000006,1.0,12.0
40.0,1.0,81.0,0.81,93.0,43.0,39.99,-92.0,38.0,-39.18,1.0,12.0
41.0,94.0,84.0,78.96,98.0,35.0,34.3,-4.0,49.0,44.66,1.0,12.0
42.0,37.0,84.0,31.08,48.0,40.0,19.200000000000003,-11.0,44.0,11.879999999999995,1.0,10.0
43.0,19.0,99.0,18.81,46.0,55.0,25.3,-27.0,44.0,-6.490000000000002,1.0,10.0
44.0,23.0,70.0,16.099999999999998,57.0,24.0,13.68,-34.0,46.0,2.419999999999998,1.0,10.0
45.0,27.0,66.0,17.82,73.0,22.0,16.06,-46.0,44.0,1.7600000000000016,1.0,12.0
46.0,35.0,55.0,19.25,92.0,11.0,10.12,-57.0,44.0,9.13,1.0,10.0
47.0,9.0,43.0,3.87,71.0,1.0,0.71,-62.0,42.0,3.16,1.0,12.0
48.0,6.0,63.0,3.7800000000000002,84.0,18.0,15.12,-78.0,45.0,-11.34,1.0,10.0
49.0,6.0,44.0,2.64,94.0,3.0,2.82,-88.0,41.0,-0.17999999999999972,1.0,10.0
50.0,1.0,63.0,0.63,92.0,15.0,13.799999999999999,-91.0,48.0,-13.169999999999998,1.0,12.0
51.0,80.0,81.0,64.80000000000001,86.0,24.0,20.64,-6.0,57.0,44.16000000000001,1.0,10.0
52.0,49.0,75.0,36.75,63.0,22.0,13.86,-14.0,53.0,22.89,1.0,12.0
53.0,35.0,85.0,29.75,64.0,27.0,17.28,-29.0,58.0,12.469999999999999,1.0,8.0
54.0,4.0,54.0,2.16,40.0,3.0,1.2,-36.0,51.0,0.9600000000000002,1.0,10.0
55.0,40.0,80.0,32.0,84.0,22.0,18.48,-44.0,58.0,13.52,1.0,8.0
56.0,39.0,78.0,30.42,93.0,27.0,25.110000000000003,-54.0,51.0,5.309999999999999,1.0,12.0
57.0,30.0,79.0,23.700000000000003,94.0,27.0,25.380000000000003,-64.0,52.0,-1.6799999999999997,1.0,12.0
58.0,21.0,80.0,16.8,93.0,29.0,26.97,-72.0,51.0,-10.169999999999998,1.0,8.0
59.0,17.0,64.0,10.88,98.0,12.0,11.76,-81.0,52.0,-0.879999999999999,1.0,8.0
60.0,2.0,58.0,1.16,97.0,1.0,0.97,-95.0,57.0,0.18999999999999995,1.0,10.0
61.0,94.0,96.0,90.24,98.0,32.0,31.36,-4.0,64.0,58.879999999999995,1.0,8.0
62.0,78.0,68.0,53.040000000000006,97.0,5.0,4.8500000000000005,-19.0,63.0,48.190000000000005,1.0,10.0
63.0,20.0,92.0,18.400000000000002,43.0,28.0,12.040000000000001,-23.0,64.0,6.360000000000001,1.0,12.0
64.0,41.0,80.0,32.800000000000004,79.0,14.0,11.06,-38.0,66.0,21.740000000000002,1.0,12.0
65.0,17.0,81.0,13.770000000000001,64.0,12.0,7.68,-47.0,69.0,6.090000000000002,1.0,12.0
66.0,24.0,80.0,19.200000000000003,83.0,15.0,12.45,-59.0,65.0,6.7500000000000036,1.0,8.0
67.0,33.0,66.0,21.78,96.0,1.0,0.96,-63.0,65.0,20.82,1.0,8.0
68.0,13.0,88.0,11.44,92.0,27.0,24.840000000000003,-79.0,61.0,-13.400000000000004,1.0,8.0
69.0,2.0,95.0,1.9,89.0,26.0,23.14,-87.0,69.0,-21.240000000000002,1.0,12.0
70.0,7.0,73.0,5.109999999999999,98.0,11.0,10.78,-91.0,62.0,-5.67,1.0,10.0
71.0,78.0,85.0,66.3,87.0,6.0,5.22,-9.0,79.0,61.08,1.0,8.0
72.0,81.0,78.0,63.18,93.0,4.0,3.72,-12.0,74.0,59.46,1.0,10.0
73.0,6.0,97.0,5.82,31.0,18.0,5.58,-25.0,79.0,0.2400000000000002,1.0,10.0
74.0,20.0,87.0,17.4,51.0,14.0,7.140000000000001,-31.0,73.0,10.259999999999998,1.0,8.0
75.0,49.0,75.0,36.75,96.0,4.0,3.84,-47.0,71.0,32.91,1.0,10.0
76.0,8.0,86.0,6.88,66.0,14.0,9.24,-58.0,72.0,-2.3600000000000003,1.0,12.0
77.0,8.0,80.0,6.4,72.0,8.0,5.76,-64.0,72.0,0.6400000000000006,1.0,8.0
78.0,13.0,78.0,10.14,90.0,1.0,0.9,-77.0,77.0,9.24,1.0,12.0
79.0,10.0,87.0,8.7,95.0,10.0,9.5,-85.0,77.0,-0.8000000000000007,1.0,12.0
80.0,5.0,78.0,3.9000000000000004,97.0,2.0,1.94,-92.0,76.0,1.9600000000000004,1.0,10.0
81.0,89.0,99.0,88.11,90.0,18.0,16.2,-1.0,81.0,71.91,1.0,10.0
82.0,82.0,82.0,67.24,94.0,1.0,0.9400000000000001,-12.0,81.0,66.3,1.0,12.0
83.0,72.0,99.0,71.28,97.0,17.0,16.490000000000002,-25.0,82.0,54.79,1.0,8.0
84.0,48.0,92.0,44.160000000000004,82.0,5.0,4.1000000000000005,-34.0,87.0,40.06,1.0,12.0
85.0,32.0,99.0,31.68,81.0,10.0,8.1,-49.0,89.0,23.58,1.0,12.0
86.0,23.0,99.0,22.77,80.0,16.0,12.8,-57.0,83.0,9.969999999999999,1.0,8.0
87.0,13.0,89.0,11.57,77.0,3.0,2.31,-64.0,86.0,9.26,1.0,10.0
88.0,9.0,91.0,8.19,81.0,6.0,4.859999999999999,-72.0,85.0,3.33,1.0,12.0
89.0,7.0,88.0,6.16,89.0,3.0,2.67,-82.0,85.0,3.49,1.0,10.0
90.0,2.0,90.0,1.8,94.0,1.0,0.9400000000000001,-92.0,89.0,0.86,1.0,10.0
91.0,91.0,93.0,84.63000000000001,92.0,2.0,1.84,-1.0,91.0,82.79,1.0,12.0
92.0,72.0,97.0,69.84,89.0,5.0,4.45,-17.0,92.0,65.39,1.0,10.0
93.0,8.0,92.0,7.36,34.0,1.0,0.34,-26.0,91.0,7.0200000000000005,1.0,8.0
94.0,57.0,99.0,56.43,90.0,1.0,0.9,-33.0,98.0,55.53,1.0,8.0
95.0,37.0,99.0,36.63,79.0,5.0,3.95,-42.0,94.0,32.68,1.0,12.0
96.0,16.0,97.0,15.52,72.0,6.0,4.32,-56.0,91.0,11.2,1.0,8.0
97.0,21.0,96.0,20.16,83.0,1.0,0.8300000000000001,-62.0,95.0,19.33,1.0,8.0
98.0,13.0,95.0,12.35,85.0,3.0,2.55,-72.0,92.0,9.8,1.0,8.0
99.0,16.0,99.0,15.84,99.0,4.0,3.96,-83.0,95.0,11.879999999999999,1.0,8.0
100.0,2.0,96.0,1.92,98.0,4.0,3.92,-96.0,92.0,-2.0,1.0,8.0
101.0,65.0,45.0,29.25,94.0,14.0,13.160000000000002,-29.0,31.0,16.089999999999996,1.0,10.0
102.0,16.0,50.0,8.0,71.0,2.0,1.42,-55.0,48.0,6.58,1.0,12.0
103.0,7.0,70.0,4.8999999999999995,98.0,13.0,12.74,-91.0,57.0,-7.840000000000001,1.0,8.0
104.0,32.0,99.0,31.68,84.0,3.0,2.52,-52.0,96.0,29.16,1.0,8.0
105.0,23.0,97.0,22.31,74.0,6.0,4.4399999999999995,-51.0,91.0,17.869999999999997,1.0,12.0
106.0,4.0,40.0,1.6,95.0,27.0,25.650000000000002,-91.0,13.0,-24.05,1.0,10.0
107.0,14.0,34.0,4.760000000000001,67.0,17.0,11.39,-53.0,17.0,-6.63,1.0,10.0
108.0,25.0,60.0,15.0,99.0,19.0,18.81,-74.0,41.0,-3.8099999999999987,1.0,10.0
109.0,4.0,9.0,0.36,98.0,3.0,2.94,-94.0,6.0,-2.58,1.0,8.0
110.0,3.0,35.0,1.0499999999999998,88.0,9.0,7.92,-85.0,26.0,-6.87,1.0,12.0
111.0,35.0,34.0,11.9,79.0,10.0,7.9,-44.0,24.0,4.0,1.0,10.0
112.0,52.0,80.0,41.6,99.0,34.0,33.660000000000004,-47.0,46.0,7.939999999999998,1.0,8.0
113.0,22.0,98.0,21.56,73.0,2.0,1.46,-51.0,96.0,20.099999999999998,1.0,8.0
114.0,7.0,99.0,6.93,93.0,15.0,13.95,-86.0,84.0,-7.02,1.0,8.0
115.0,6.0,99.0,5.9399999999999995,97.0,3.0,2.9099999999999997,-91.0,96.0,3.03,1.0,8.0
116.0,6.0,99.0,5.9399999999999995,81.0,4.0,3.24,-75.0,95.0,2.6999999999999993,1.0,12.0
117.0,47.0,74.0,34.78,74.0,11.0,8.14,-27.0,63.0,26.64,1.0,10.0
118.0,84.0,86.0,72.24,85.0,27.0,22.950000000000003,-1.0,59.0,49.28999999999999,1.0,12.0
119.0,15.0,70.0,10.5,49.0,1.0,0.49,-34.0,69.0,10.01,1.0,10.0
120.0,58.0,94.0,54.519999999999996,85.0,65.0,55.25,-27.0,29.0,-0.730000000000004,1.0,12.0
121.0,16.0,95.0,15.2,98.0,79.0,77.42,-82.0,16.0,-62.22,1.0,8.0
122.0,21.0,98.0,20.58,94.0,1.0,0.9400000000000001,-73.0,97.0,19.639999999999997,1.0,10.0
123.0,57.0,75.0,42.75,88.0,40.0,35.2,-31.0,35.0,7.549999999999997,1.0,12.0
124.0,60.0,82.0,49.199999999999996,79.0,1.0,0.79,-19.0,81.0,48.41,1.0,10.0
125.0,10.0,86.0,8.6,89.0,2.0,1.78,-79.0,84.0,6.819999999999999,1.0,12.0
126.0,34.0,84.0,28.56,88.0,16.0,14.08,-54.0,68.0,14.479999999999999,1.0,12.0
127.0,3.0,34.0,1.02,65.0,23.0,14.950000000000001,-62.0,11.0,-13.930000000000001,1.0,10.0
128.0,21.0,5.0,1.05,97.0,2.0,1.94,-76.0,3.0,-0.8899999999999999,1.0,10.0
129.0,54.0,40.0,21.6,90.0,11.0,9.9,-36.0,29.0,11.700000000000001,1.0,12.0
130.0,4.0,62.0,2.48,96.0,14.0,13.440000000000001,-92.0,48.0,-10.96,1.0,10.0
131.0,95.0,99.0,94.05,97.0,32.0,31.04,-2.0,67.0,63.01,1.0,8.0
132.0,19.0,60.0,11.4,83.0,9.0,7.47,-64.0,51.0,3.9300000000000006,1.0,8.0
133.0,59.0,84.0,49.559999999999995,92.0,49.0,45.08,-33.0,35.0,4.479999999999997,1.0,12.0
134.0,40.0,96.0,38.4,79.0,68.0,53.720000000000006,-39.0,28.0,-15.320000000000007,1.0,10.0
135.0,1.0,35.0,0.35,96.0,16.0,15.36,-95.0,19.0,-15.01,1.0,8.0
136.0,10.0,66.0,6.6000000000000005,83.0,9.0,7.47,-73.0,57.0,-0.8699999999999992,1.0,12.0
137.0,55.0,81.0,44.550000000000004,16.0,54.0,8.64,39.0,27.0,35.910000000000004,0.0,8.0
138.0,78.0,44.0,34.32,44.0,19.0,8.36,34.0,25.0,25.96,0.0,8.0
139.0,4.0,14.0,0.56,3.0,7.0,0.21000000000000002,1.0,7.0,0.35000000000000003,0.0,8.0
140.0,19.0,8.0,1.52,15.0,2.0,0.3,4.0,6.0,1.22,0.0,8.0
141.0,37.0,82.0,30.34,33.0,28.0,9.24,4.0,54.0,21.1,0.0,8.0
142.0,60.0,12.0,7.199999999999999,45.0,9.0,4.05,15.0,3.0,3.1499999999999995,0.0,8.0
143.0,73.0,46.0,33.58,18.0,11.0,1.98,55.0,35.0,31.599999999999998,0.0,8.0
144.0,50.0,76.0,38.0,10.0,5.0,0.5,40.0,71.0,37.5,0.0,8.0
145.0,99.0,12.0,11.879999999999999,72.0,8.0,5.76,27.0,4.0,6.119999999999999,0.0,10.0
146.0,82.0,60.0,49.199999999999996,31.0,23.0,7.13,51.0,37.0,42.06999999999999,0.0,10.0
147.0,35.0,95.0,33.25,32.0,88.0,28.16,3.0,7.0,5.09,0.0,10.0
148.0,77.0,49.0,37.73,75.0,5.0,3.75,2.0,44.0,33.98,0.0,10.0
149.0,75.0,11.0,8.25,3.0,5.0,0.15000000000000002,72.0,6.0,8.1,0.0,10.0
150.0,39.0,49.0,19.11,4.0,38.0,1.52,35.0,11.0,17.59,0.0,10.0
151.0,63.0,81.0,51.03,21.0,47.0,9.87,42.0,34.0,41.160000000000004,0.0,10.0
152.0,83.0,73.0,60.589999999999996,81.0,67.0,54.27,2.0,6.0,6.319999999999993,0.0,10.0
153.0,81.0,84.0,68.03999999999999,55.0,71.0,39.05,26.0,13.0,28.989999999999995,0.0,12.0
154.0,95.0,5.0,4.75,31.0,2.0,0.62,64.0,3.0,4.13,0.0,12.0
155.0,92.0,62.0,57.04,55.0,50.0,27.5,37.0,12.0,29.54,0.0,12.0
156.0,43.0,52.0,22.36,4.0,45.0,1.8,39.0,7.0,20.56,0.0,12.0
157.0,2.0,52.0,1.04,1.0,31.0,0.31,1.0,21.0,0.73,0.0,12.0
158.0,88.0,52.0,45.760000000000005,52.0,39.0,20.28,36.0,13.0,25.480000000000004,0.0,12.0
159.0,65.0,53.0,34.45,59.0,2.0,1.18,6.0,51.0,33.27,0.0,12.0
160.0,27.0,98.0,26.46,22.0,84.0,18.48,5.0,14.0,7.98,0.0,12.0
