GambleNumber,lot_0_val,lot_0_prob,lot_0_ev,lot_1_val,lot_1_prob,lot_1_ev,dX,dP,dEV,Deadline
23.0,40.0,96.0,38.4,79.0,68.0,53.720000000000006,-39.0,28.0,-15.320000000000007,6.0
24.0,37.0,84.0,31.08,48.0,40.0,19.200000000000003,-11.0,44.0,11.879999999999995,6.0
25.0,4.0,40.0,1.6,95.0,27.0,25.65,-91.0,13.0,-24.05,6.0
26.0,34.0,84.0,28.56,88.0,16.0,14.08,-54.0,68.0,14.48,6.0
27.0,29.0,87.0,25.23,88.0,64.0,56.32,-59.0,23.0,-31.09,6.0
28.0,32.0,92.0,29.44,67.0,89.0,59.63,-35.0,3.0,-30.19,6.0
29.0,3.0,80.0,2.4000000000000004,84.0,45.0,37.8,-81.0,35.0,-35.400000000000006,8.0
30.0,16.0,99.0,15.84,99.0,4.0,3.96,-83.0,95.0,11.88,8.0
31.0,40.0,37.0,14.8,93.0,3.0,2.79,-53.0,34.0,12.010000000000002,8.0
32.0,35.0,85.0,29.75,64.0,27.0,17.28,-29.0,58.0,12.47,8.0
33.0,54.0,40.0,21.6,90.0,11.0,9.9,-36.0,29.0,11.7,8.0
34.0,20.0,27.0,5.4,86.0,24.0,20.64,-66.0,3.0,-15.24,8.0
35.0,18.0,70.0,12.6,97.0,53.0,51.41,-79.0,17.0,-38.81,8.0
36.0,10.0,27.0,2.7,94.0,20.0,18.8,-84.0,7.0,-16.1,10.0
37.0,1.0,35.0,0.35,96.0,16.0,15.36,-95.0,19.0,-15.01,10.0
38.0,22.0,84.0,18.48,87.0,45.0,39.15,-65.0,39.0,-20.67,10.0
39.0,21.0,90.0,18.9,96.0,51.0,48.96,-75.0,39.0,-30.06,10.0
40.0,16.0,97.0,15.52,72.0,6.0,4.32,-56.0,91.0,11.2,10.0
41.0,20.0,87.0,17.4,51.0,14.0,7.140000000000001,-31.0,73.0,10.259999999999998,10.0
42.0,11.0,40.0,4.4,97.0,24.0,23.28,-86.0,16.0,-18.879999999999995,10.0
43.0,14.0,34.0,4.760000000000001,67.0,17.0,11.39,-53.0,17.0,-6.63,6.0
44.0,4.0,62.0,2.48,96.0,14.0,13.44,-92.0,48.0,-10.96,6.0
45.0,21.0,9.0,1.89,33.0,8.0,2.64,-12.0,1.0,-0.7500000000000002,6.0
46.0,10.0,87.0,8.7,95.0,10.0,9.5,-85.0,77.0,-0.8000000000000007,6.0
47.0,36.0,27.0,9.72,88.0,8.0,7.04,-52.0,19.0,2.6800000000000006,6.0
48.0,8.0,86.0,6.88,66.0,14.0,9.24,-58.0,72.0,-2.3600000000000003,6.0
49.0,39.0,78.0,30.42,93.0,27.0,25.110000000000003,-54.0,51.0,5.309999999999999,6.0
50.0,19.0,60.0,11.4,83.0,9.0,7.47,-64.0,51.0,3.9300000000000006,6.0
51.0,10.0,86.0,8.6,89.0,2.0,1.78,-79.0,84.0,6.819999999999999,8.0
52.0,19.0,99.0,18.81,46.0,55.0,25.3,-27.0,44.0,-6.490000000000002,8.0
53.0,26.0,67.0,17.42,71.0,40.0,28.4,-45.0,27.0,-10.98,8.0
54.0,7.0,73.0,5.109999999999999,98.0,11.0,10.78,-91.0,62.0,-5.67,8.0
55.0,7.0,88.0,6.16,89.0,3.0,2.67,-82.0,85.0,3.49,8.0
56.0,8.0,80.0,6.4,72.0,8.0,5.76,-64.0,72.0,0.6400000000000006,8.0
57.0,10.0,66.0,6.6000000000000005,83.0,9.0,7.47,-73.0,57.0,-0.8699999999999992,8.0
58.0,3.0,35.0,1.0499999999999998,88.0,9.0,7.92,-85.0,26.0,-6.87,10.0
59.0,11.0,28.0,3.08,99.0,3.0,2.97,-88.0,25.0,0.1100000000000003,10.0
60.0,20.0,65.0,13.0,55.0,30.0,16.5,-35.0,35.0,-3.5,10.0
61.0,35.0,34.0,11.9,79.0,10.0,7.9,-44.0,24.0,4.0,10.0
62.0,17.0,64.0,10.88,98.0,12.0,11.76,-81.0,52.0,-0.879999999999999,10.0
63.0,63.0,33.0,20.790000000000003,86.0,26.0,22.36,-23.0,7.0,-1.5699999999999967,10.0
64.0,33.0,36.0,11.88,51.0,18.0,9.18,-18.0,18.0,2.7,10.0
